#### Data from Potential source areas for atmospheric lead reaching Ny-Ålesund from 2010 to 2018
#### Andrea Bazzano1*, Stefano Bertinetti1, Francisco Ardini1, David Cappelletti2 and Marco Grotti1
#### 1 Department of Chemistry and Industrial Chemistry, University of Genoa, via Dodecaneso 31, 16146, Genoa, Italy
#### 2 Department of Chemistry, Biology and Biotechnologies, University of Perugia, Via Elce Di Sotto 8, 06123, Perugia, Italy
#### * corresponding author: andrea.bazzano@edu.unige.it, orcid id: https://orcid.org/0000-0002-9353-3919
#### date reports the sampling data in YYYY-MM-DD format and volume the sampling volume in m3.
#### pb_sign is = for Pb concentrarion data above limit of quantification (LoQ) and < for data below LoQ.
#### pb_val is numeric and it is the measured Pb concentration or LoQ in pg/m3.
#### pb is text and it is the measured Pb concentration or <LoQ in pg/m3.
#### al_ef is the enrichment factor (EF) EF(Pb/Al)c in comparison to the upper continental crust (UCC, Wedepohl 1995).
#### pb20x20y is the value measured for 20xPb / 20yPb isotope ratio.
#### u20x20y is the 95-confidence level uncertainty for the measured 20xPb / 20yPb isotope ratio value.
#### Missing values are reported as NA.
#### Wedepohl 1995: Wedepohl, K.H., 1995. The composition of the continental crust. Geochim. Cosmochim. Acta 58A, 959–960. https://doi.org/10.1180/minmag.1994.58A.2.234
#### (NN-YY)	(YYYY-MM-DD)	m3	-	-	pg/m3	-	-	-	-	-
id	date	volume	pb_sign	pb_val	pb	al_ef	pb208206	u208206	pb207206	u207206
08-18	2018-03-24	762.82	=	101	101	97	2.098	0.005	0.865	0.002
09-18	2018-03-28	762.68	=	55.7	55.7	76	2.107	0.003	0.862	0.003
10-18	2018-04-01	766.17	=	50.2	50.2	163	2.107	0.005	0.862	0.002
11-18	2018-04-05	784.6	=	193.7	193.7	75	2.104	0.003	0.862	0.001
12-18	2018-04-09	758.86	=	96.5	96.5	45	2.092	0.002	0.862	0.002
13-18	2018-04-13	760.21	=	107.8	107.8	28	2.103	0.003	0.86	0.001
14-18	2018-04-17	768.99	=	91.2	91.2	40	2.1	0.003	0.86	0.001
15-18	2018-04-21	764.53	=	179.2	179.2	29	2.106	0.003	0.859	0.001
16-18	2018-04-25	771.58	=	56	56	22	2.096	0.003	0.861	0.001
17-18	2018-04-29	737.42	=	65.3	65.3	29	2.101	0.005	0.856	0.002
18-18	2018-05-03	780.77	=	96.9	96.9	44	2.077	0.002	0.855	0.002
19-18	2018-05-07	777.38	=	20.7	20.7	12	2.089	0.006	0.865	0.002
20-18	2018-05-11	724.97	=	7.2	7.2	5	2.088	0.008	0.851	0.005
21-18	2018-05-15	719.74	=	13.1	13.1	9	2.095	0.012	0.853	0.003
22-18	2018-05-19	718.02	<	2.2	<2.2	NA	NA	NA	NA	NA
23-18	2018-05-23	752.66	=	24.9	24.9	11	2.086	0.006	0.856	0.001
24-18	2018-05-27	801.75	=	42.8	42.8	67	2.056	0.005	0.841	0.002
25-18	2018-05-31	810.45	<	2.2	<2.2	NA	NA	NA	NA	NA
26-18	2018-06-04	799.08	=	28.2	28.2	9	2.092	0.005	0.852	0.002
27-18	2018-06-08	802.48	=	13.9	13.9	13	2.103	0.003	0.855	0.003
28-18	2018-06-12	791.7	=	9.3	9.3	5	2.091	0.01	0.847	0.005
29-18	2018-06-16	808.02	=	9.5	9.5	7	2.087	0.01	0.852	0.004
30-18	2018-06-20	817	=	20.9	20.9	12	2.082	0.008	0.844	0.002
31-18	2018-06-24	767.13	=	6.8	6.8	8	2.082	0.007	0.855	0.003
32-18	2018-06-28	807.52	=	2.2	2.2	8	2.094	0.014	0.852	0.006
34-18	2018-07-06	799.77	=	14.3	14.3	11	2.087	0.006	0.854	0.002
35-18	2018-07-10	809.82	=	4.1	4.1	14	2.093	0.013	0.853	0.004
36-18	2018-07-14	799.07	=	11	11	15	2.091	0.009	0.857	0.002
37-18	2018-07-18	785.34	=	8.2	8.2	27	2.058	0.006	0.844	0.005
38-18	2018-07-22	781.9	=	3.1	3.1	10	2.09	0.006	0.865	0.003
39-18	2018-07-26	781.16	=	2.1	2.1	3	2.082	0.017	0.854	0.003
40-18	2018-07-30	805.75	=	104.3	104.3	35	2.098	0.003	0.863	0.002
41-18	2018-08-03	766.89	=	5.8	5.8	5	2.084	0.016	0.846	0.006
42-18	2018-08-08	770.13	=	4.7	4.7	3	2.092	0.008	0.854	0.007
43-18	2018-08-12	806.24	=	4.6	4.6	4	2.093	0.006	0.858	0.006
44-18	2018-08-16	829.66	=	20.8	20.8	13	2.122	0.008	0.883	0.002
45-18	2018-08-20	804.1	=	11.3	11.3	18	2.099	0.01	0.865	0.004
46-18	2018-08-25	762.55	=	20.6	20.6	26	2.049	0.009	0.837	0.002
